
Channel      Spectral axis      Intensity
4.86000E+02      1.396187744E+03   -3.63475E-02
4.87000E+02      1.396125244E+03   -2.47505E-02
4.88000E+02      1.396062744E+03   -4.18409E-02
4.89000E+02      1.396000244E+03   -3.38754E-03
4.90000E+02      1.395937744E+03   -1.86468E-02
4.91000E+02      1.395875244E+03   -1.25431E-02
4.92000E+02      1.395812744E+03   -8.42310E-03
4.93000E+02      1.395750244E+03   -1.65105E-02
4.94000E+02      1.395687744E+03   -9.46063E-04
4.95000E+02      1.395625244E+03   -1.13224E-02
4.96000E+02      1.395562744E+03    4.27270E-04
4.97000E+02      1.395500244E+03   -1.92572E-02
4.98000E+02      1.395437744E+03   -2.03253E-02
4.99000E+02      1.395375244E+03   -1.37638E-02
5.00000E+02      1.395312744E+03    6.37838E-03
5.01000E+02      1.395250244E+03   -2.10883E-02
5.02000E+02      1.395187744E+03   -2.67342E-02
5.03000E+02      1.395125244E+03   -1.52898E-02
5.04000E+02      1.395062744E+03    4.40687E-02
5.05000E+02      1.395000244E+03    7.75171E-03
5.06000E+02      1.394937744E+03    1.72125E-02
5.07000E+02      1.394875244E+03   -8.42310E-03
5.08000E+02      1.394812744E+03   -3.10068E-02
5.09000E+02      1.394750244E+03   -2.77717E-03
5.10000E+02      1.394687744E+03   -1.04068E-02
5.11000E+02      1.394625244E+03   -2.44453E-02
5.12000E+02      1.394562744E+03   -2.24616E-02
5.13000E+02      1.394500244E+03    2.77413E-02
5.14000E+02      1.394437744E+03    2.48421E-02
5.15000E+02      1.394375244E+03    2.02643E-02
5.16000E+02      1.394312744E+03    6.53097E-03
5.17000E+02      1.394250244E+03    1.04984E-02
5.18000E+02      1.394187744E+03    9.12505E-03
5.19000E+02      1.394125244E+03    2.41097E-03
5.20000E+02      1.394062744E+03   -1.69683E-02
5.21000E+02      1.394000244E+03    2.05695E-02
5.22000E+02      1.393937744E+03   -1.05594E-02
5.23000E+02      1.393875244E+03   -2.91757E-02
5.24000E+02      1.393812744E+03   -1.19327E-02
5.25000E+02      1.393750244E+03   -1.01016E-02
5.26000E+02      1.393687744E+03   -1.17801E-02
5.27000E+02      1.393625244E+03   -3.38754E-03
5.28000E+02      1.393562744E+03    1.55339E-02
5.29000E+02      1.393500244E+03    1.26347E-02
5.30000E+02      1.393437744E+03   -4.88285E-04
5.31000E+02      1.393375244E+03   -1.45268E-02
5.32000E+02      1.393312744E+03    8.05690E-03
5.33000E+02      1.393250244E+03    4.54727E-03
5.34000E+02      1.393187744E+03   -2.01421E-03
5.35000E+02      1.393125244E+03   -2.62458E-03
5.36000E+02      1.393062744E+03   -4.45569E-03
5.37000E+02      1.393000244E+03    6.68356E-03
5.38000E+02      1.392937744E+03    5.46282E-03
5.39000E+02      1.392875244E+03   -3.05073E-05
5.40000E+02      1.392812744E+03    1.67547E-02
5.41000E+02      1.392750244E+03    5.31023E-03
5.42000E+02      1.392687744E+03   -1.69683E-02
5.43000E+02      1.392625244E+03   -1.48320E-02
5.44000E+02      1.392562744E+03    6.98875E-03
5.45000E+02      1.392500244E+03   -4.76088E-03
